period,train_start,train_end,test_start,test_end,in_sample_return,in_sample_sharpe,in_sample_drawdown,in_sample_trades,in_sample_win_rate,in_sample_profit_factor,out_sample_return,out_sample_sharpe,out_sample_drawdown,out_sample_trades,out_sample_win_rate,out_sample_rr_ratio,out_sample_profit_factor,out_sample_expectancy,return_degradation_pct,trade_difference,params
1,2021-08-08,2023-01-30,2023-01-31,2023-07-30,0.9620926117321006,-0.17171922748780602,19.629970570050894,1730,35.431053222861046,1.363943179984208,5.0855146213461415,0.0,5.616485169712377,342,36.18673647469459,1.1957024684871431,1.1821042052153286,279.01173032464794,-428.58888628096315,-1388,"{'neighbors_count': 8, 'max_bars_back': 2000, 'feature_count': 5, 'f1_type': 'RSI', 'f1_param_a': 14, 'f1_param_b': 1, 'f2_type': 'WT', 'f2_param_a': 10, 'f2_param_b': 11, 'f3_type': 'CCI', 'f3_param_a': 20, 'f3_param_b': 1, 'f4_type': 'ADX', 'f4_param_a': 20, 'f4_param_b': 2, 'f5_type': 'RSI', 'f5_param_a': 9, 'f5_param_b': 1, 'use_volatility_filter': False, 'use_regime_filter': True, 'regime_threshold': Decimal('-0.1'), 'use_adx_filter': False, 'adx_threshold': 20, 'use_ema_filter': False, 'ema_period': 200, 'use_sma_filter': False, 'sma_period': 200, 'use_kernel_filter': True, 'use_kernel_smoothing': False, 'kernel_lookback': 8, 'kernel_rel_weight': 8.0, 'kernel_start_bar': 25, 'kernel_lag': 2, 'use_dynamic_exits': True, 'bars_to_hold': 4, 'position_size_pct': Decimal('0.95'), 'stop_loss_pct': Decimal('0.05'), 'use_stop_loss': False, 'long_only': True, 'verbose': False}"
2,2021-11-06,2023-04-30,2023-05-01,2023-10-28,1.0877553045008739,-0.941478180720866,11.493078804645071,766,38.89740713039142,1.8836627425454577,-1.6414143937027934,0.0,3.086355562591188,163,11.343804537521814,0.11728216248766711,0.11510278994672464,-135.21095940492907,250.89923137225892,-603,"{'neighbors_count': 8, 'max_bars_back': 2000, 'feature_count': 5, 'f1_type': 'RSI', 'f1_param_a': 14, 'f1_param_b': 1, 'f2_type': 'WT', 'f2_param_a': 10, 'f2_param_b': 11, 'f3_type': 'CCI', 'f3_param_a': 20, 'f3_param_b': 1, 'f4_type': 'ADX', 'f4_param_a': 20, 'f4_param_b': 2, 'f5_type': 'RSI', 'f5_param_a': 9, 'f5_param_b': 1, 'use_volatility_filter': True, 'use_regime_filter': True, 'regime_threshold': Decimal('-0.1'), 'use_adx_filter': True, 'adx_threshold': 20, 'use_ema_filter': False, 'ema_period': 200, 'use_sma_filter': False, 'sma_period': 200, 'use_kernel_filter': True, 'use_kernel_smoothing': False, 'kernel_lookback': 8, 'kernel_rel_weight': 8.0, 'kernel_start_bar': 25, 'kernel_lag': 2, 'use_dynamic_exits': True, 'bars_to_hold': 4, 'position_size_pct': Decimal('0.95'), 'stop_loss_pct': Decimal('0.05'), 'use_stop_loss': False, 'long_only': True, 'verbose': False}"
3,2022-02-04,2023-07-29,2023-07-30,2024-01-26,7.45281390056226,1.1700270633545466,17.360778244146495,1668,37.60146485277375,1.742462785012437,5.180187847560241,5.519817258981612,4.532169022607793,305,39.938917975567186,6.085871043498029,6.403560760872049,259.2795049773179,30.493530139409042,-1363,"{'neighbors_count': 8, 'max_bars_back': 2000, 'feature_count': 5, 'f1_type': 'RSI', 'f1_param_a': 14, 'f1_param_b': 1, 'f2_type': 'WT', 'f2_param_a': 10, 'f2_param_b': 11, 'f3_type': 'CCI', 'f3_param_a': 20, 'f3_param_b': 1, 'f4_type': 'ADX', 'f4_param_a': 20, 'f4_param_b': 2, 'f5_type': 'RSI', 'f5_param_a': 9, 'f5_param_b': 1, 'use_volatility_filter': False, 'use_regime_filter': True, 'regime_threshold': Decimal('-0.1'), 'use_adx_filter': False, 'adx_threshold': 20, 'use_ema_filter': False, 'ema_period': 200, 'use_sma_filter': False, 'sma_period': 200, 'use_kernel_filter': True, 'use_kernel_smoothing': False, 'kernel_lookback': 8, 'kernel_rel_weight': 8.0, 'kernel_start_bar': 25, 'kernel_lag': 2, 'use_dynamic_exits': True, 'bars_to_hold': 4, 'position_size_pct': Decimal('0.95'), 'stop_loss_pct': Decimal('0.05'), 'use_stop_loss': False, 'long_only': True, 'verbose': False}"
