period,symbol,tier,rank,composite_score,train_return,train_sharpe,train_trades,train_win_rate,train_profit_factor,train_max_drawdown,test_return,test_sharpe,test_trades,test_win_rate,test_profit_factor,test_max_drawdown,sector,industry,market_cap,beta,avg_volume,price,fifty_two_week_high,fifty_two_week_low,trailing_pe,dividend_yield,hist_volatility
1,HAL,1,1,91.03475702563253,126.59310460087218,0.5762481419564851,5,60.0,23.918938791842645,19.167005120299976,-8.60667345851358,-0.8456770609391238,5,0.0,0.0,25.280403541502814,Energy,Oil & Gas Equipment & Services,28442806272,0.787,11837854,33.36,35.55,18.72,22.24,198.0,55.08476167996117
1,AMGN,1,2,83.35802406468918,34.70729956479306,0.5154941021170537,7,85.71428571428571,43.29188230434493,9.291879790486883,6.154800210556477,0.20213076607764677,5,40.0,3.2882076083651124,4.048044317175354,Healthcare,Drug Manufacturers - General,184278843392,0.45,2904252,342.22,353.25,261.43,26.46713,275.0,24.126648681913405
1,WAB,1,3,28.76349998846362,26.99449395234843,0.590613475354905,5,60.0,18.150705373178475,10.060749104925547,6.007055279983975,0.19290215457785778,8,12.5,0.04794558184350022,12.11215451413877,Industrials,Railroads,39130390528,1.004,808496,228.89,236.0,151.81,33.268894,43.0,33.840807804007305
1,GILD,1,4,24.194328972734795,43.44841277044449,0.510724655035586,9,66.66666666666666,7.896956695512397,7.242807029955181,-5.723717858874866,-0.9808294646530572,7,28.57142857142857,0.3447014685469936,8.530435456764131,Healthcare,Drug Manufacturers - General,173365542912,0.349,7246573,139.72,141.71,93.37,21.628483,224.00000000000003,24.68964251040094
1,STLD,1,5,16.162744545403573,96.3200161993401,0.541780920163383,10,40.0,5.263915740898892,16.995504993912096,-16.203327068943796,-0.7198766199157574,6,33.33333333333333,0.2794672551483588,26.732834403718073,Basic Materials,Steel,25669537792,1.484,1252373,174.38,185.56,103.17,21.824781,113.99999999999999,44.69538107070996
1,EXR,1,6,14.471565909841267,48.411267293090376,0.751735753244526,9,44.44444444444444,4.7438987908999595,11.929755580143338,-11.952683035031841,-0.7705622091356559,5,20.0,0.054372655220548995,12.639950717393404,Real Estate,REIT - Industrial,30394857472,1.273,1301029,137.16,162.77,121.03,30.684566,463.99999999999994,29.99469971746266
1,ON,1,7,11.881247351727714,69.18683822483065,0.5768514105454968,6,50.0,7.6217511674780205,25.602370121090914,4.653624404922474,0.08109168108447376,6,33.33333333333333,0.6149332703249616,15.967223292010042,Technology,Semiconductors,26554681344,1.543,9046434,64.93,66.86,31.04,88.945206,0.0,55.221895107248656
1,BKR,1,8,9.671059317789597,88.93277731839851,0.5470377640014744,9,55.55555555555556,4.322653996086348,21.74480866634851,9.606452835589163,0.3369492474719285,5,20.0,0.27466770771751403,20.484596755568557,Energy,Oil & Gas Equipment & Services,55881007104,0.887,7848191,56.63,57.58,33.6,21.780771,163.0,44.648441721191375
1,INCY,1,9,8.655334757973849,45.407620521079984,0.6518854190988801,11,36.36363636363637,3.5685524299875566,12.204169305013886,-0.6559730743408321,-4.097923242522645,5,40.0,1.0387441178951746,6.2566094511123325,Healthcare,Biotechnology,19863930880,0.82,2216147,101.18,112.29,53.56,17.149153,0.0,30.40328744464839
1,MPC,1,10,7.978499162269708,75.10693887055582,0.4733938244011418,7,71.42857142857143,5.116270853703222,22.80000666564662,11.734368645387772,0.3805436793722672,3,0.0,0.0,13.257516806233749,Energy,Oil & Gas Refining & Marketing,52294533120,0.732,2237454,172.01,202.3,115.1,18.298937,233.0,45.0149445351719
1,SLB,1,11,7.8769657689295896,64.23651051949129,0.6125324593407963,7,42.857142857142854,4.604519187617845,23.00045236789922,-0.6831198037846264,-3.958017999745731,6,16.666666666666664,0.10527911400967502,18.86541280112032,Energy,Oil & Gas Equipment & Services,73076850688,0.723,16603224,48.87,51.67,31.11,20.795746,233.0,49.54040455139527
1,NUE,1,12,7.654198755234498,76.44671933839847,0.8020131695982601,13,30.76923076923077,2.0331236275102857,16.285624035641654,-2.894065451136796,-1.3753284475516137,5,0.0,0.0,16.087942770990338,Basic Materials,Steel,39633739776,1.88,1571442,173.18,183.32,97.59,23.029255,129.0,42.15914539650648
1,COP,1,13,7.611927782288458,71.24836816083149,0.6065232973418181,10,40.0,3.163384222444411,17.958898428463186,-0.6034378581326161,-4.40442383713765,4,0.0,0.0,13.387649093927292,Energy,Oil & Gas E&P,126630264832,0.328,7527016,101.39,106.2,79.88,14.3206215,336.0,44.21828887028424
1,MPWR,1,14,5.781090981757335,40.23203015954622,1.000187427511233,10,60.0,2.2713222739424173,15.80965143501659,-26.224818210363686,-0.6654119311707891,10,20.0,0.21786423094765378,36.58832914111323,Technology,Semiconductors,55657394176,1.456,693806,1161.78,1171.57,438.86,29.789232,56.99999999999999,51.45412518455108
1,MRK,1,15,5.620818926429922,35.38462150345427,0.4087358298270345,12,50.0,3.6558469351419527,9.406881507516387,-1.7807521935370607,-1.8742185730109469,4,25.0,0.7969549787750272,7.680855379119395,Healthcare,Drug Manufacturers - General,267013046272,0.298,13969500,106.9,112.9,73.31,14.121532,315.0,22.828644650057043
1,TRGP,1,16,5.530381406828685,54.025953523367384,0.518763802884877,9,44.44444444444444,3.3842235685436237,17.15047164418898,-6.822688985248315,-0.9158386689615895,6,0.0,0.0,16.619396847071847,Energy,Oil & Gas Midstream,43281539072,0.874,1480960,201.13,211.87,144.14,27.143051,204.99999999999997,55.086984662589835
1,APD,1,17,5.422975741576126,44.614477244837026,0.45602772613676346,9,44.44444444444444,3.450612409955919,12.945701087687965,-6.279758098759613,-0.9451034597487751,4,25.0,0.333140200541938,8.98458234301721,Basic Materials,Specialty Chemicals,56959004672,0.879,1604140,255.89,341.14,229.11,0.0,276.0,27.98948490602878
1,NVDA,1,18,5.194840454950459,66.80646269574049,0.6167184214841845,11,36.36363636363637,2.312999326141402,18.3446187532953,81.07812766419032,0.548866618379094,2,50.0,27.553567232939,13.097642733570472,Technology,Semiconductors,4662937780224,2.314,184414460,191.52,212.19,86.62,47.52357,2.0,53.1592011283965
1,ATO,1,19,5.05575777184186,28.593159140608606,0.7345446989752784,11,45.45454545454545,2.6437201468949416,10.982711939236017,-4.677022647941742,-1.071126171210289,3,0.0,0.0,9.005769138420256,Utilities,Utilities - Regulated Gas,26850168832,0.761,1180806,166.0,180.65,140.66,22.28188,237.0,24.77880405231663
