symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak,ml_accuracy,ml_bullish_accuracy,ml_bearish_accuracy
LMT,10000,10351.966024479862,351.9660244798615,3.519660244798617,0.11485420575925165,15.684142754819819,-12.164482510021202,0.005328948418297086,0.37675855952340337,0.4395483591139116,9.341951644711031,970.2581431687868,8,4,4,50.0,220.45570690496066,132.46420078499483,1.664266311943304,1.664266311943304,43.99575305998292,688.9315151305348,-399.8304186697928,8.375,27,3,2,43.85245901639344,56.00000000000001,31.092436974789916
SCHD,10000,10049.093453149406,49.09345314940583,0.4909345314940694,0.03431581456574406,15.684142754819819,-15.19320822332575,0.002184872859579128,0.09187162781965352,0.14349708803543385,5.3437012399278165,552.4513409227802,9,4,5,44.44444444444444,106.58679710509665,75.45074705419583,1.412667220226938,1.1301337761815502,5.454828127711934,181.66415717129743,-208.33314716080895,8.777777777777779,39,2,2,45.52845528455284,56.25,33.89830508474576
COST,10000,9861.842064969904,-138.15793503009627,-1.3815793503009655,-0.04615545248662922,15.684142754819819,-17.065722105120784,-0.002079526254049155,-0.18517112723700244,-0.3172055079377358,7.461094885125735,778.9872006130681,13,7,6,53.84615384615385,67.85233643744387,102.18738168203436,0.6639991682003634,0.7746656962337573,-10.627533463853773,198.27388297989535,-301.65622687340885,3.4615384615384617,14,2,2,55.73770491803278,50.42016806722689,60.8
AI,10000,9838.590420722961,-161.40957927703857,-1.614095792770387,-0.3154264293803166,15.684142754819819,-17.298238547590206,-0.0017017965841682966,-0.13596970968434266,-0.12564734753278248,11.870995360051541,1313.4604043960571,7,2,5,28.57142857142857,584.3247876167297,266.01183090209963,2.196612029003247,0.8786448116012989,-23.05851132529125,1104.2199077606201,-374.47993087768555,5.285714285714286,24,1,3,47.950819672131146,41.86046511627907,54.78260869565217
ADBE,10000,8726.560638427734,-1273.4393615722656,-12.734393615722661,-0.45099299954651784,15.684142754819819,-28.41853637054248,-0.0133763939090186,-0.6405671527243779,-0.803994726551958,19.87987295564934,2147.608673095703,12,5,7,41.66666666666667,308.418017578125,402.21849278041293,0.7667922363442962,0.5477087402459259,-106.11994679768873,1071.1101684570312,-691.43994140625,5.5,14,2,3,54.69387755102041,48.888888888888886,61.81818181818181
MSFT,10000,9491.889129950481,-508.1108700495188,-5.081108700495185,-0.17289689207664605,15.684142754819819,-20.765251455315003,-0.007682671319582174,-0.5139596889305583,-0.709287024009959,9.886200824558635,988.6200824558637,14,8,6,57.14285714285714,63.20389763061088,168.95700851573375,0.37408272190570396,0.49877696254093856,-36.293633574965405,148.8410303797973,-500.2385941612821,3.7142857142857144,31,5,3,53.06122448979592,61.261261261261254,46.26865671641791
QCOM,10000,9111.455946493115,-888.5440535068847,-8.885440535068845,-0.3083102755502276,15.684130953073193,-24.56957148814204,-0.006812145810385167,-0.7369837967873653,-0.6689630540609873,12.05649374355577,1213.3368914560724,12,4,8,33.33333333333333,370.27619554217495,296.2061044594483,1.2500626758449103,0.6250313379224551,-74.04533779224059,687.7758204409181,-666.1958698896015,6.666666666666667,24,2,4,47.93388429752066,50.467289719626166,45.925925925925924
AMZN,10000,11527.239852905273,1527.2398529052734,15.272398529052733,0.49661233979703123,15.684130953073193,-0.4117324240204603,0.01526941970491176,3.8264104426107997,1.1933522614494185,3.9913121600808243,473.0104217529297,5,3,2,60.0,628.5333506266276,179.1800994873047,3.5078301241325103,5.261745186198766,305.4479705810546,1365.0,-244.7998046875,18.0,48,2,1,51.2396694214876,53.90625,48.24561403508772
PLTR,10000,15125.348709106445,5125.348709106445,51.25348709106446,8.048742726539482,15.684142754819819,35.56934433624464,0.057518575745103676,5.353811672322592,1.4664999399608762,9.573270452531562,1599.270263671875,16,9,7,56.25,911.0245598687065,439.12461853027344,2.0746378622948924,2.6673915372362904,320.33429431915283,2180.079833984375,-1062.9600524902344,5.5,19,4,3,52.674897119341566,55.78231292517006,47.91666666666667
AMD,10000,8947.349983215332,-1052.650016784668,-10.526500167846676,-0.36841868378592046,15.684130953073193,-26.21063112091987,-0.006594414717680911,-0.5966488946176739,-0.6480669161141304,17.6427045500385,1909.6798095703125,13,3,10,23.076923076923077,539.4132843017578,267.08898696899416,2.019601371150422,0.6058804113451267,-80.97307821420523,1189.2401428222656,-667.9998779296875,5.230769230769231,26,2,6,48.16326530612245,59.130434782608695,38.46153846153847
TSLA,10000,8554.970306396484,-1445.0296936035156,-14.450296936035157,-0.9960323584300212,15.684142754819819,-30.134439690854975,-0.014008161905524029,-0.607325301156413,-1.5292652164154745,23.79333926730902,2509.1005249023438,13,5,8,38.46153846153847,120.1,255.69121170043945,0.4697071878274242,0.2935669923921401,-111.15613027719348,206.08001708984375,-684.80029296875,4.846153846153846,17,3,6,43.85245901639344,45.07042253521127,42.15686274509804
GOOG,10000,9753.217245036318,-246.78275496368224,-2.467827549636825,-0.11645597002434283,15.684130953073193,-18.15195850271002,-0.0012756098827707023,-0.10772604232104903,-0.15129055999747545,22.908365484012833,2309.962827553799,16,8,8,50.0,297.848332825036,328.6961771954958,0.9061508879304285,0.9061508879304285,-15.423922185229912,700.0181758634747,-848.9039405175682,3.875,17,3,4,53.46938775510204,60.13986013986013,44.11764705882353
AAPL,10000,9330.71347218158,-669.2865278184199,-6.692865278184201,-0.2296141730497303,15.684130953073193,-22.376996231257394,-0.00699705363384466,-0.5484811589601605,-0.5378190449001788,12.202543640465041,1225.284389115166,17,7,9,41.17647058823529,194.4010510961359,214.96289541289343,0.9043470070624837,0.7033810054930429,-46.401270379763716,448.92373330369105,-551.4865863211367,5.25,20,5,3,46.93877551020408,51.14503816793893,42.10526315789473
BBD-B.TO,10000,12914.510925292969,2914.5109252929688,29.14510925292968,0.8442001377730213,15.684142754819819,13.46096649810986,0.025421046995921084,3.2015952705042214,1.8258688049645369,9.103308441713057,1247.4200744628906,19,15,4,78.94736842105263,274.12335408528645,299.33484649658203,0.9157749500054165,3.4341560625203122,153.39531185752466,1132.8603134155273,-778.8300476074219,3.0526315789473686,15,11,2,50.409836065573764,65.41353383458647,32.432432432432435
