symbol
COTY
PFG
LNC
XRAY
ALE
CACC
SON
AM
IDA
ZBH
HE
OTTR
VLGEA
EWD
KBWD
NAVI
DKL
TTC
SR
HSIC
OSCR
EWS
ALGN
OMI
GL
ENB
ATUS
SAM
FYBR
MET
DIV
PODD
AIG
HDV
SHEN
NORW
OGE
DTE
HYLB
GO
ALLY
CHEF
BF-B
AVY
BGS
NRG
AVA
JNK
USHY
NOBL
OGS
LTC
EWA
EQH
WMK
SJNK
CDC
EWQ
FVD
ANGL
VYM
FND
VOYA
OMF
IMKTA
AGCO
QYLD
COF
ALHC
PRU
DVY
EWC
AOS
VIG
GMRE
BAX
KR
EWU
CNP
WMB
TRP
EWN
DGRO
XYLD
AXP
APTV
RYLD
SDY
EWG
ZION
HESM
EWH
SEE
OI
KEY
LEA
EWT
BKH
AIT
HUM
FHN
CCK
EPD
MPW
WES
EWI
HBAN
AMCR
STZ
DGRW
FE
TAP
TFC
SWK
WSO
ESS
EQR
CNH
MMSI
CABO
MPLX
SPYD
NEAR
SPHD
CFG
COR
ACI
PCAR
BDX
ANDE
MOH
FIZZ
FRT
GOVT
AES
IBKR
USB
EDEN
LIVN
NVST
MCK
REG
BLDR
BAC
WFC
MNST
EWK
BLD
SLM
MS
SUSC
MTB
TILE
FITB
MAS
DXCM
IP
EWP
CMA
SCHO
USIG
EWZ
AWI
GWW
QLTA
FLO
AFL
EFNL
SNA
CPT
UNM
C
CAH
DTM
CUBE
DSGR
TFX
UDR
POR
SBRA
IGSB
SCHW
VCSH
BRX
RF
DOC
THS
DAN
PFFD
IGIB
SPAB
ARE
PFF
GPK
AVB
OSK
ET
HR
UNFI
SYF
MAA
VGSH
PNC
FAST
NGVC
HAIN
KMI
BIV
EWO
PCG
PGX
AXL
BSV
BXP
SLG
EL
GEL
