symbol,hurst,adf_pvalue,half_life,autocorr,data_points
AES,0.4526159420203383,3.221738020138014e-06,8.485072247069903,-0.09468635650984641,502
OGE,0.31693278573263783,2.4558452573161652e-06,5.995138670240108,-0.019221704644904216,502
NRG,0.35882023238237076,2.4728471434866623e-05,7.04524721302724,-0.06978755539247954,502
ALE,0.3018015753981256,2.1525543595122145e-06,5.480836229134945,-0.14933877534821252,490
AVA,0.3100681432815838,1.1669787149895068e-05,7.666696250698654,0.02155931251869656,502
BKH,0.33444542931570603,1.1870420056341967e-06,7.075550278798959,0.0814965790977156,502
IDA,0.2507061061208734,0.0001204978768803234,8.238100155587462,-0.03018640644567902,502
OGS,0.28037334713780404,3.5785308174977636e-07,6.686420876901634,0.09797266550561089,502
POR,0.45018914667849574,5.296536944261709e-06,6.761884783019702,0.007935388027001652,502
SR,0.26169076903895866,2.444912092863513e-05,6.930604418986975,-0.0018812888701870754,502
CNP,0.3935970326543356,2.401973960534281e-05,7.091494893620582,-0.06768103378766784,502
OTTR,0.26471231248961535,3.88906478378132e-06,6.256581626145643,-0.029437851924391197,502
HE,0.2843667734181836,5.762546714008042e-09,8.240883330902383,-0.08872808296940504,502
EIX,0.5610940534286861,0.0019222777051940718,11.26660974386825,0.029797909665803517,502
PCG,0.45827694246553974,0.0009523120468552893,10.1110141472943,0.033124160061832005,502
FE,0.38770362500917543,2.5639460380054698e-06,6.540635813632501,0.01430248769074111,502
DTE,0.31009120474068863,8.380772337528336e-07,6.040486212722555,0.010101330508908818,502
IRM,0.5536024926814631,0.0007135556995155872,9.877165562653946,0.008301079997265141,502
CUBE,0.4688390595707275,5.053853535871995e-05,7.608531457781917,-0.04250099019373375,502
MAA,0.4666528254246033,7.687325149300211e-06,7.047191898861403,0.006759043511012492,502
EQR,0.41648235000835365,4.804273473833186e-07,5.312289663239643,-0.021328661518110786,502
AVB,0.48153520254835575,6.06301841726373e-07,5.381090396308887,-0.01382504759480111,502
ESS,0.3894822313783013,6.243496738498782e-08,6.177163201934605,0.023936808108264727,502
UDR,0.43975594466367246,4.831070838451208e-07,6.226455709302036,0.03241321680914592,502
CPT,0.4411119790986255,1.225959121639613e-06,6.213260694885758,0.010728353862622176,502
ARE,0.421730322353612,0.00042730799471769806,10.338045622349597,0.05298378408616569,502
BXP,0.4728222239047007,5.825076460471753e-07,6.4020512742245845,0.05688648797668358,502
SLG,0.492576008781908,2.0118974634021058e-05,7.279726444736413,0.014223423083090844,502
VNO,0.5103224763645274,2.4816298997824478e-06,5.925885243191457,-0.03659536889264563,502
KIM,0.5387379876476227,3.732755378002633e-06,6.095773035605039,-0.04387669852115622,502
REG,0.468799757089399,6.210908875793442e-08,4.704795305773948,-0.07881016460811915,502
FRT,0.4621646502573781,4.1326829794399266e-07,5.259398475321283,-0.08229890963743593,502
BRX,0.49574504904900263,6.912920068563613e-07,5.418004292488672,-0.056757266803697484,502
SITC,0.5318120668553047,6.069408811005618e-06,6.307031373465715,-0.079534796524711,502
HR,0.47582499629058084,5.212264446311391e-05,7.704223316240655,-0.02036833300644712,502
OHI,0.5051632795942447,8.476958215978528e-06,6.542331054424739,0.0018828912737163315,502
SBRA,0.44554871111821476,1.2874160940366363e-05,6.226536345438661,0.025812786554762483,502
MPW,0.37420516027867284,3.6556542577202033e-06,6.764117658375943,0.019807986751452775,502
DOC,0.44539783309083497,1.2113996528594833e-05,7.416521376506043,0.02442912188471188,502
CTRE,0.5076812446101013,9.77656783423255e-07,6.627704631823364,0.03413024487373995,502
LTC,0.32934523476274286,3.333081756535624e-06,6.5920272251653005,0.0014308857517768658,502
NHI,0.5268287602846543,0.0002451474336813531,8.74979855766606,-0.03191334470127184,502
GMRE,0.34387990049904227,5.546813925862989e-05,9.743926594025472,-0.0016398579075702687,502
EL,0.4933019701996629,8.665353784945081e-06,9.050762941656082,0.015564927604856924,502
COTY,0.21886786229373412,1.8191273648438926e-07,5.01385756223325,-0.06292542985276786,502
MNST,0.4695350918332061,3.747602584357282e-05,7.416408490833209,-0.09727142251582604,502
TAP,0.43419528688577264,8.571004909136341e-05,7.89440599426252,-0.09120023859113999,502
STZ,0.40650007052591935,0.0003223992209613834,9.007439392396575,-0.051645935850736485,502
BF-B,0.3480557397401811,5.711557803287502e-08,9.31268739722032,-0.07816931416030609,502
SAM,0.35413231279282015,4.1014575378425065e-05,5.683434172716466,-0.13359255886331844,502
