symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
ABBV,10000,10032.562678542023,32.562678542022695,0.32562678542022994,0.16300475212003285,48.95384651042492,-48.62821972500468,-0.05787478589783963,0.014560069314454634,0.2263613511599905,22.36437055261551,2658.7769788367586,9,3,5,33.33333333333333,1319.468660689765,660.1953941038925,1.9986032506039042,1.1991619503623427,-0.30737583934006807,1744.6163059932242,-1404.6468306709085,35.125,94,1,2
LULU,10000,7089.01985168457,-2910.9801483154297,-29.109801483154296,-15.83247171776584,48.95384651042492,-78.06364799357921,-0.7125807688377899,-0.6232996447259493,-1.0624982967472476,46.702740374500316,5576.550064086914,11,1,9,9.090909090909092,2547.439788818359,676.7766435411241,3.7640775773367308,0.41823084192630344,-383.66605878117116,2547.439788818359,-1584.9800262451172,19.3,101,1,5
ROK,10000,14165.174527536145,4165.1745275361445,41.65174527536144,19.05874076890781,48.95384651042492,-7.302101235063475,0.7563422580614244,3.2017788891339385,0.6258072800397648,13.008938692399207,1554.3915037312927,8,3,4,37.5,1144.544522495824,383.65303352705524,2.9832802623079235,2.2374601967309427,189.42104998152445,2991.212522173123,-489.2371100395858,28.857142857142858,65,1,1
RDDT,10000,40011.7082862854,30011.7082862854,300.11708286285403,114.81242806006624,35.05079602285876,265.06628683999526,0.7874245217675601,11.112946062667328,1.1660250961330474,27.006077521699044,12396.950820922852,7,4,2,57.14285714285714,8333.217690467834,2843.6309356689453,2.930484960597568,5.860969921195136,3543.139707837786,25503.510215759277,-2904.5,34.833333333333336,115,2,1
BKSY,10000,51970.88838529587,41970.88838529587,419.7088838529587,128.3450289683435,48.95384651042492,370.7550373425338,0.976075451131083,14.8126040468708,1.4198130016700727,28.33457793949628,20482.20299911499,5,2,3,40.0,22754.34425854683,1179.2667105992634,19.29533332369218,12.863555549128119,8394.177677059173,32334.23825454712,-2547.4802112579346,33.2,86,2,2
IYW,10000,13449.46065729115,3449.4606572911507,34.4946065729115,16.005978502415385,48.95384651042492,-14.459239937513416,0.8345841376876177,2.6101699371991547,1.0538618219289277,13.215463898080893,1532.7344422918613,7,3,3,42.857142857142854,1515.140416519359,342.6160649444477,4.4222690397341005,4.4222690397341005,453.56528425432657,3361.2514180399558,-779.7792634609416,42.5,112,1,2
CCO.TO,10000,18523.283963049744,8523.283963049744,85.23283963049744,36.100271722909305,48.95383670248332,36.279002928014116,2.375887140753269,2.3347956147185216,0.836624312396428,36.505482147212675,6112.2574990399335,11,4,6,36.36363636363637,3285.4892367662915,1119.2555813609686,2.9354235900001253,1.9569490600000836,482.4698070489443,5682.765665109114,-2041.1204207442006,27.2,79,2,3
PGR,10000,10536.118462702008,536.1184627020084,5.361184627020088,2.6509251537648826,48.95384651042492,-43.59266188340483,0.2147357595861354,0.30225661899806255,0.22953466456790955,17.73719511847796,2255.5933118800167,7,2,5,28.57142857142857,1440.1034822083611,468.8177003429429,3.071777113267944,1.2287108453071778,76.58835181457249,1627.0823742881728,-705.7287316461599,36.42857142857143,76,1,3
AVGO,10000,16264.832241016353,6264.832241016353,62.64832241016354,27.59533126527196,48.95384651042492,13.69447589973862,1.237236976901602,2.58648169337476,0.7026301990358435,24.221444354559488,3899.829587767392,9,3,6,33.33333333333333,3829.6106083340765,870.6665973309795,4.398481140856572,2.1992405704282865,696.0924712240387,8647.063609422084,-1289.3630800931144,30.0,117,1,2
SPOT,10000,13206.242401123047,3206.242401123047,32.062424011230476,14.950189395422054,48.95384651042492,-16.89142249919444,0.5999138309325327,1.2262698360468216,0.601993908305009,26.14630407495913,4674.61962890625,8,3,5,37.5,2714.826894124349,987.64765625,2.7487807792024506,1.6492684675214704,400.78030014038086,3488.7005310058594,-1894.759521484375,32.0,104,2,3
SOFI,10000,4444.735226631165,-5555.264773368835,-55.55264773368835,-33.38486785082895,48.95384651042492,-104.50649424411327,-1.1839619437098732,-0.9425280170563399,-3.245198045511686,58.940049238204956,5894.004923820496,11,1,9,9.090909090909092,189.74993705749512,658.4171957439846,0.28819104100567333,0.03202122677840815,-581.3110927620319,189.74993705749512,-1767.4198751449585,9.4,27,1,8
NFLX,10000,12662.894847869873,2662.894847869873,26.62894847869872,12.555940632758578,48.95384651042492,-22.324898031726196,0.44299472542890894,1.1604325126603086,0.565246309431194,22.94743398532627,3771.2039794921875,8,4,4,50.0,1697.8686838150024,1032.1449718475342,1.6449905101759361,1.6449905101759361,332.86185598373413,3104.7776947021484,-1325.3236770629883,33.0,99,3,3
IONQ,10000,55860.834725379944,45860.834725379944,458.6083472537994,136.75347492658256,48.95384651042492,409.6545007433745,0.8820509406483678,10.207296749661154,1.45163953697454,44.92946159021228,20856.920850753784,11,3,8,27.27272727272727,19433.910068194073,1555.1119349002838,12.496791794887875,4.686296923082953,4169.166793216358,21982.44996547699,-5921.28369140625,16.545454545454547,80,1,5
META,10000,12752.607853969508,2752.607853969508,27.526078539695085,12.954743005307723,48.95384651042492,-21.427767970729832,0.8507489526291693,1.5061771213997341,0.855246329662666,18.275459206361003,2819.4356137002833,7,4,3,57.14285714285714,1264.4368288763212,768.3798205119247,1.645588282151793,2.1941177095357243,393.2296934242158,2657.10818220447,-1405.0133450684705,36.57142857142857,105,2,1
AMAT,10000,18309.498372198268,8309.498372198268,83.09498372198267,35.393973138938776,48.95384651042492,34.141137211557755,0.603647038800109,2.5229044704138204,1.13367204142017,32.936238647336886,3947.6775688214148,7,4,2,57.14285714285714,2061.9380611673923,1030.0774062063545,2.001731179369569,4.003462358739138,736.7885751500721,5391.977859441318,-1116.8379745044672,34.333333333333336,66,3,2
