period,train_start,train_end,test_start,test_end,in_sample_return,in_sample_avg_return,in_sample_sharpe,in_sample_drawdown,in_sample_trades,in_sample_win_rate,in_sample_profit_factor,out_sample_return,out_sample_avg_return,out_sample_sharpe,out_sample_drawdown,out_sample_trades,out_sample_win_rate,out_sample_rr_ratio,out_sample_profit_factor,out_sample_expectancy,in_sample_ml_accuracy,in_sample_ml_bullish_accuracy,in_sample_ml_bearish_accuracy,in_sample_ml_predictions,out_sample_ml_accuracy,out_sample_ml_bullish_accuracy,out_sample_ml_bearish_accuracy,out_sample_ml_predictions,ml_accuracy_degradation,return_degradation_pct,trade_difference,params,portfolio_return,portfolio_sharpe,portfolio_max_dd,portfolio_avg_positions,portfolio_skipped
1,2024-06-17,2024-11-14,2024-11-15,2025-04-14,607.350777366995,5.623618308953657,0.008344484652356614,8.833376058828394,1034,54.49131041419053,7.88981329614785,-577.1427353645508,-5.343914216338434,-0.005554554009875527,12.277805423181396,737,41.82573085350863,1.3015651789278617,1.456282138648662,-88.67801597931314,49.36494728571164,55.55662112062561,42.287842063737784,10965,48.641094161177904,46.83199633484578,49.724541598096096,10410,0.7238531245337327,195.02626107874545,-297,"{'neighbors_count': 9, 'max_bars_back': 7000, 'feature_count': 10, 'trend_following_labels': False, 'allow_reentry': True, 'min_prediction_strength': 20, 'label_lookahead': 4, 'label_dead_zone': 0.1, 'use_magnitude_labels': True, 'f1_type': 'VCOMP', 'f1_param_a': 4, 'f1_param_b': 16, 'f2_type': 'MPER', 'f2_param_a': 4, 'f2_param_b': 20, 'f3_type': 'VMC', 'f3_param_a': 5, 'f3_param_b': 40, 'f4_type': 'ZS', 'f4_param_a': 40, 'f4_param_b': 1, 'f5_type': 'RSM', 'f5_param_a': 30, 'f5_param_b': 160, 'f6_type': 'ER', 'f6_param_a': 10, 'f6_param_b': 1, 'f7_type': 'MTD', 'f7_param_a': 5, 'f7_param_b': 40, 'f8_type': 'STRK', 'f8_param_a': 15, 'f8_param_b': 1, 'f9_type': 'CS', 'f9_param_a': 5, 'f9_param_b': 2, 'f10_type': 'OBVT', 'f10_param_a': 20, 'f10_param_b': 3, 'f11_type': 'VA', 'f11_param_a': 20, 'f11_param_b': 1, 'f12_type': 'VPD', 'f12_param_a': 22, 'f12_param_b': 1, 'f13_type': 'MACC', 'f13_param_a': 5, 'f13_param_b': 5, 'f14_type': 'CHOP', 'f14_param_a': 14, 'f14_param_b': 1, 'use_volatility_filter': False, 'use_regime_filter': True, 'regime_threshold': Decimal('0'), 'regime_period': 'weekly', 'use_regime_direction': True, 'regime_stability_min': 0.0, 'regime_stability_window': 60, 'regime_max_flips': 8, 'use_adx_filter': False, 'adx_threshold': 14, 'use_ema_filter': False, 'ema_period': 25, 'ema_slope_lookback': 5, 'use_sma_filter': False, 'sma_period': 100, 'sma_slope_lookback': 5, 'use_spy_filter': True, 'spy_regime_threshold': Decimal('0'), 'spy_regime_period': 'weekly', 'use_kernel_filter': False, 'use_kernel_smoothing': False, 'kernel_lookback': 8, 'kernel_rel_weight': 8.0, 'kernel_start_bar': 25, 'kernel_lag': 2, 'use_dynamic_exits': False, 'bars_to_hold': 100000, 'use_rsi_exit': True, 'rsi_exit_period': 14, 'rsi_overbought': 70, 'rsi_oversold': 30, 'use_kernel_exit': False, 'use_trailing_atr_exit': True, 'trailing_atr_mult': 2.0, 'trailing_atr_warmup': 3, 'position_size_pct': Decimal('0.95'), 'stop_loss_pct': Decimal('0.05'), 'use_stop_loss': True, 'long_only': True, 'verbose': False, 'test_start_idx': 0, 'use_cross_symbol_training': True, 'cross_symbol_etfs': 'SPY,QQQ,IWM,TLT,GLD,XLE,EFA', 'cross_symbol_lookback_years': 5, 'use_regime_balancing': True, 'cross_symbol_auto_peers': True, 'cross_symbol_target_symbol': '', 'cross_symbol_max_peers': 7, 'use_fundamental_filter': True, 'fundamental_symbol': '', 'fundamental_quality_weight': 0.2, 'fundamental_momentum_weight': 0.3, 'earnings_blackout_before': 5, 'earnings_blackout_after': 2, 'close_before_earnings': True, 'full_position_threshold': 50, 'reduced_position_pct': Decimal('0.75'), 'min_trending_probability': 20, 'min_quality_score': 20, 'min_momentum_score': 20, 'require_earnings_improving': True, 'min_earnings_improvement': 50}",-46.40417320565202,-5.0954572383908,44.66357982836001,14.432692307692308,335
2,2024-11-14,2025-04-13,2025-04-14,2025-09-11,-683.8509287426366,-6.331953043913302,-0.006763829199711157,12.7821394807315,759,39.583700764256314,1.4701184069285171,720.5488543023375,6.67174865094757,0.007606747007329552,8.896152150069609,1087,52.36446552418774,1.733178004056099,2.9267532607645177,47.93232642968802,48.652004547912924,46.382877194761924,50.17836934824653,10423,51.43956572528001,59.64677452203984,42.58720937258132,10732,-2.7875611773670883,205.36636334283784,328,"{'neighbors_count': 9, 'max_bars_back': 7000, 'feature_count': 10, 'trend_following_labels': False, 'allow_reentry': True, 'min_prediction_strength': 20, 'label_lookahead': 4, 'label_dead_zone': 0.1, 'use_magnitude_labels': True, 'f1_type': 'VCOMP', 'f1_param_a': 4, 'f1_param_b': 16, 'f2_type': 'MPER', 'f2_param_a': 4, 'f2_param_b': 20, 'f3_type': 'VMC', 'f3_param_a': 5, 'f3_param_b': 40, 'f4_type': 'ZS', 'f4_param_a': 40, 'f4_param_b': 1, 'f5_type': 'RSM', 'f5_param_a': 30, 'f5_param_b': 160, 'f6_type': 'ER', 'f6_param_a': 10, 'f6_param_b': 1, 'f7_type': 'MTD', 'f7_param_a': 5, 'f7_param_b': 40, 'f8_type': 'STRK', 'f8_param_a': 15, 'f8_param_b': 1, 'f9_type': 'CS', 'f9_param_a': 5, 'f9_param_b': 2, 'f10_type': 'OBVT', 'f10_param_a': 20, 'f10_param_b': 3, 'f11_type': 'VA', 'f11_param_a': 20, 'f11_param_b': 1, 'f12_type': 'VPD', 'f12_param_a': 22, 'f12_param_b': 1, 'f13_type': 'MACC', 'f13_param_a': 5, 'f13_param_b': 5, 'f14_type': 'CHOP', 'f14_param_a': 14, 'f14_param_b': 1, 'use_volatility_filter': False, 'use_regime_filter': True, 'regime_threshold': Decimal('0'), 'regime_period': 'weekly', 'use_regime_direction': True, 'regime_stability_min': 0.0, 'regime_stability_window': 60, 'regime_max_flips': 8, 'use_adx_filter': False, 'adx_threshold': 14, 'use_ema_filter': False, 'ema_period': 25, 'ema_slope_lookback': 5, 'use_sma_filter': False, 'sma_period': 100, 'sma_slope_lookback': 5, 'use_spy_filter': True, 'spy_regime_threshold': Decimal('0'), 'spy_regime_period': 'weekly', 'use_kernel_filter': False, 'use_kernel_smoothing': False, 'kernel_lookback': 8, 'kernel_rel_weight': 8.0, 'kernel_start_bar': 25, 'kernel_lag': 2, 'use_dynamic_exits': False, 'bars_to_hold': 100000, 'use_rsi_exit': True, 'rsi_exit_period': 14, 'rsi_overbought': 70, 'rsi_oversold': 30, 'use_kernel_exit': False, 'use_trailing_atr_exit': True, 'trailing_atr_mult': 2.0, 'trailing_atr_warmup': 3, 'position_size_pct': Decimal('0.95'), 'stop_loss_pct': Decimal('0.05'), 'use_stop_loss': True, 'long_only': True, 'verbose': False, 'test_start_idx': 0, 'use_cross_symbol_training': True, 'cross_symbol_etfs': 'SPY,QQQ,IWM,TLT,GLD,XLE,EFA', 'cross_symbol_lookback_years': 5, 'use_regime_balancing': True, 'cross_symbol_auto_peers': True, 'cross_symbol_target_symbol': '', 'cross_symbol_max_peers': 7, 'use_fundamental_filter': True, 'fundamental_symbol': '', 'fundamental_quality_weight': 0.2, 'fundamental_momentum_weight': 0.3, 'earnings_blackout_before': 5, 'earnings_blackout_after': 2, 'close_before_earnings': True, 'full_position_threshold': 50, 'reduced_position_pct': Decimal('0.75'), 'min_trending_probability': 20, 'min_quality_score': 20, 'min_momentum_score': 20, 'require_earnings_improving': True, 'min_earnings_improvement': 50}",-40.50314474648447,-3.8948345155500834,40.50314474648447,18.186915887850468,559
3,2025-04-13,2025-09-10,2025-09-11,2026-02-08,679.5849600369555,6.292453333675514,0.007128716236951272,8.840785830326974,1074,51.77181229264562,3.0081073217237786,372.7875794109054,3.451736846397272,0.0017675169157711228,10.507653724149028,1050,49.378866795017466,1.6142974719950052,3.3441051429226865,11.292080899673703,51.28885165090369,59.60167236083873,42.3414697154329,10623,50.039281632157184,53.552328838645,46.156867187483904,10623,1.2495700187465033,45.14481612561977,-24,"{'neighbors_count': 9, 'max_bars_back': 7000, 'feature_count': 10, 'trend_following_labels': False, 'allow_reentry': True, 'min_prediction_strength': 20, 'label_lookahead': 4, 'label_dead_zone': 0.1, 'use_magnitude_labels': True, 'f1_type': 'VCOMP', 'f1_param_a': 4, 'f1_param_b': 16, 'f2_type': 'MPER', 'f2_param_a': 4, 'f2_param_b': 20, 'f3_type': 'VMC', 'f3_param_a': 5, 'f3_param_b': 40, 'f4_type': 'ZS', 'f4_param_a': 40, 'f4_param_b': 1, 'f5_type': 'RSM', 'f5_param_a': 30, 'f5_param_b': 160, 'f6_type': 'ER', 'f6_param_a': 10, 'f6_param_b': 1, 'f7_type': 'MTD', 'f7_param_a': 5, 'f7_param_b': 40, 'f8_type': 'STRK', 'f8_param_a': 15, 'f8_param_b': 1, 'f9_type': 'CS', 'f9_param_a': 5, 'f9_param_b': 2, 'f10_type': 'OBVT', 'f10_param_a': 20, 'f10_param_b': 3, 'f11_type': 'VA', 'f11_param_a': 20, 'f11_param_b': 1, 'f12_type': 'VPD', 'f12_param_a': 22, 'f12_param_b': 1, 'f13_type': 'MACC', 'f13_param_a': 5, 'f13_param_b': 5, 'f14_type': 'CHOP', 'f14_param_a': 14, 'f14_param_b': 1, 'use_volatility_filter': False, 'use_regime_filter': True, 'regime_threshold': Decimal('0'), 'regime_period': 'weekly', 'use_regime_direction': True, 'regime_stability_min': 0.0, 'regime_stability_window': 60, 'regime_max_flips': 8, 'use_adx_filter': False, 'adx_threshold': 14, 'use_ema_filter': False, 'ema_period': 25, 'ema_slope_lookback': 5, 'use_sma_filter': False, 'sma_period': 100, 'sma_slope_lookback': 5, 'use_spy_filter': True, 'spy_regime_threshold': Decimal('0'), 'spy_regime_period': 'weekly', 'use_kernel_filter': False, 'use_kernel_smoothing': False, 'kernel_lookback': 8, 'kernel_rel_weight': 8.0, 'kernel_start_bar': 25, 'kernel_lag': 2, 'use_dynamic_exits': False, 'bars_to_hold': 100000, 'use_rsi_exit': True, 'rsi_exit_period': 14, 'rsi_overbought': 70, 'rsi_oversold': 30, 'use_kernel_exit': False, 'use_trailing_atr_exit': True, 'trailing_atr_mult': 2.0, 'trailing_atr_warmup': 3, 'position_size_pct': Decimal('0.95'), 'stop_loss_pct': Decimal('0.05'), 'use_stop_loss': True, 'long_only': True, 'verbose': False, 'test_start_idx': 0, 'use_cross_symbol_training': True, 'cross_symbol_etfs': 'SPY,QQQ,IWM,TLT,GLD,XLE,EFA', 'cross_symbol_lookback_years': 5, 'use_regime_balancing': True, 'cross_symbol_auto_peers': True, 'cross_symbol_target_symbol': '', 'cross_symbol_max_peers': 7, 'use_fundamental_filter': True, 'fundamental_symbol': '', 'fundamental_quality_weight': 0.2, 'fundamental_momentum_weight': 0.3, 'earnings_blackout_before': 5, 'earnings_blackout_after': 2, 'close_before_earnings': True, 'full_position_threshold': 50, 'reduced_position_pct': Decimal('0.75'), 'min_trending_probability': 20, 'min_quality_score': 20, 'min_momentum_score': 20, 'require_earnings_improving': True, 'min_earnings_improvement': 50}",-38.72587768698983,-3.8682239483852343,35.70694527278768,20.2,486
