symbol,entry_date,exit_date,entry_alloc,exit_value,pnl,pnl_pct,entry_day_ret,still_open
EOG,2025-09-11,2025-09-12,3333.33,3352.34,19.01,0.57,0.000000,False
UNH,2025-09-11,2025-09-12,3333.33,3352.69,19.36,0.58,0.000000,False
MU,2025-09-11,2025-09-12,3333.33,3395.70,62.37,1.87,0.000000,False
ORCL,2025-09-11,2025-09-12,3333.33,3313.59,-19.74,-0.59,0.000000,False
INTC,2025-09-11,2025-09-15,3333.33,3299.17,-34.16,-1.02,0.000000,False
PGR,2025-09-11,2025-09-16,3333.33,3273.30,-60.04,-1.80,0.000000,False
LMT,2025-09-11,2025-09-16,3333.33,3351.08,17.75,0.53,0.000000,False
ASML,2025-09-11,2025-09-16,3333.33,3608.98,275.65,8.27,0.000000,False
KLAC,2025-09-11,2025-09-16,3333.33,3434.08,100.74,3.02,0.000000,False
INCY,2025-09-11,2025-09-16,3333.33,3228.82,-104.51,-3.14,0.000000,False
ORLY,2025-09-11,2025-09-17,3333.33,3267.39,-65.94,-1.98,0.000000,False
PCG,2025-09-11,2025-09-17,3333.33,3218.03,-115.30,-3.46,0.000000,False
PH,2025-09-11,2025-09-18,3333.33,3241.14,-92.19,-2.77,0.000000,False
QCOM,2025-09-11,2025-09-19,3333.33,3476.25,142.92,4.29,0.000000,False
CAT,2025-09-11,2025-09-19,3333.33,3599.93,266.59,8.00,0.000000,False
JPM,2025-09-11,2025-09-22,3333.33,3374.81,41.47,1.24,0.000000,False
PG,2025-09-11,2025-09-22,3333.33,3284.97,-48.36,-1.45,0.000000,False
WMT,2025-09-11,2025-09-22,3333.33,3327.43,-5.90,-0.18,0.000000,False
CVX,2025-09-11,2025-09-23,3333.33,3312.31,-21.03,-0.63,0.000000,False
SLB,2025-09-11,2025-09-23,3333.33,3147.01,-186.33,-5.59,0.000000,False
OXY,2025-09-11,2025-09-23,3333.33,3339.14,5.81,0.17,0.000000,False
PHM,2025-09-11,2025-09-23,3333.33,3146.37,-186.96,-5.61,0.000000,False
LLY,2025-09-11,2025-09-24,3333.33,3295.88,-37.46,-1.12,0.000000,False
BLK,2025-09-11,2025-09-25,3333.33,3303.51,-29.83,-0.89,0.000000,False
PNR,2025-09-11,2025-09-25,3333.33,3211.52,-121.82,-3.65,0.000000,False
XOM,2025-09-11,2025-10-01,3333.33,3344.43,11.10,0.33,0.000000,False
BKSY,2025-09-11,2025-10-03,3333.33,4564.20,1230.87,36.93,0.000000,False
CCO.TO,2025-09-11,2025-10-13,3333.33,3627.90,294.57,8.84,0.000000,False
COST,2025-09-12,2025-09-16,3333.33,3329.77,-3.56,-0.11,0.006830,False
FDX,2025-09-12,2025-09-16,3333.33,3353.12,19.79,0.59,0.008885,False
META,2025-09-12,2025-09-17,3333.33,3458.19,124.85,3.75,0.008220,False
