symbol,entry_date,exit_date,entry_alloc,exit_value,pnl,pnl_pct,entry_day_ret,still_open
PGR,2025-04-15,2025-04-16,3333.33,3353.67,20.34,0.61,-0.009456,False
PG,2025-04-15,2025-04-16,3333.33,3335.96,2.63,0.08,-0.003521,False
COST,2025-04-15,2025-04-17,3333.33,3297.32,-36.01,-1.08,-0.007546,False
UNH,2025-04-15,2025-04-17,3333.33,2792.84,-540.50,-16.21,-0.012717,False
WMT,2025-04-15,2025-04-17,3333.33,3239.29,-94.04,-2.82,-0.008020,False
ORLY,2025-04-15,2025-04-17,3333.33,3249.42,-83.92,-2.52,-0.012882,False
INVH,2025-04-15,2025-04-17,3333.33,3356.30,22.97,0.69,0.002757,False
PNW,2025-04-15,2025-04-17,3333.33,3321.80,-11.53,-0.35,0.002211,False
BBD-B.TO,2025-04-15,2025-04-21,3333.33,3283.51,-49.82,-1.49,0.008374,False
TSM,2025-04-15,2025-04-21,3333.33,3208.85,-124.48,-3.73,0.004826,False
BKSY,2025-04-15,2025-04-22,3333.33,3138.91,-194.42,-5.83,0.013651,False
DUK,2025-04-15,2025-04-28,3333.33,3306.56,-26.77,-0.80,-0.004313,False
PCG,2025-04-15,2025-05-01,3333.33,3255.82,-77.52,-2.33,0.002114,False
LMT,2025-04-15,2025-05-07,3333.33,3296.95,-36.38,-1.09,-0.008720,False
KO,2025-04-15,2025-05-12,3333.33,3231.02,-102.32,-3.07,-0.009445,False
PFG,2025-04-15,2025-05-16,3333.33,3651.57,318.24,9.55,-0.007834,False
TSLA,2025-04-16,2025-04-17,3333.33,3285.03,-48.30,-1.45,-0.021210,False
PEG,2025-04-16,2025-04-17,3333.33,3330.11,-3.22,-0.10,-0.006338,False
PLD,2025-04-16,2025-05-15,3333.33,3570.82,237.48,7.12,0.005403,False
PG,2025-04-17,2025-04-21,3333.33,3394.29,60.96,1.83,0.016582,False
PGR,2025-04-17,2025-04-22,3333.33,3199.55,-133.79,-4.01,-0.023108,False
AVGO,2025-04-17,2025-04-25,3333.33,3513.64,180.31,5.41,-0.026666,False
TSLA,2025-04-21,2025-04-22,3333.33,3341.86,8.52,0.26,-0.010082,False
BA,2025-04-21,2025-04-22,3333.33,3379.17,45.83,1.38,-0.003630,False
PANW,2025-04-21,2025-05-08,3333.33,3732.60,399.27,11.98,-0.026712,False
WMT,2025-04-22,2025-04-23,3333.33,3402.60,69.26,2.08,0.019128,False
ORLY,2025-04-22,2025-04-23,3333.33,3385.96,52.63,1.58,0.010839,False
PNW,2025-04-22,2025-04-23,3333.33,3343.94,10.61,0.32,0.009453,False
BBD-B.TO,2025-04-22,2025-04-25,3333.33,3575.20,241.87,7.26,0.008364,False
MA,2025-04-22,2025-04-30,3333.33,3462.62,129.28,3.88,0.019824,False
PG,2025-04-23,2025-04-29,3333.33,3243.30,-90.03,-2.70,-0.003541,False
PHM,2025-04-23,2025-05-02,3333.33,3307.67,-25.66,-0.77,-0.023094,False
PGR,2025-04-23,2025-05-06,3333.33,3514.38,181.05,5.43,-0.000165,False
PODD,2025-04-23,2025-05-12,3333.33,4087.77,754.44,22.63,-0.014760,False
TSM,2025-04-23,2025-05-14,3333.33,4035.39,702.06,21.06,-0.009150,False
COST,2025-04-24,2025-04-28,3333.33,3348.11,14.78,0.44,0.001701,False
TSLA,2025-04-24,2025-04-29,3333.33,3746.61,413.28,12.40,0.031917,False
LLY,2025-04-24,2025-05-02,3333.33,3297.33,-36.00,-1.08,0.023556,False
ORLY,2025-04-24,2025-05-02,3333.33,3473.76,140.43,4.21,-0.004382,False
IFF,2025-04-24,2025-05-08,3333.33,3281.84,-51.49,-1.54,0.007605,False
JPM,2025-04-24,2025-05-15,3333.33,3673.40,340.06,10.20,0.018358,False
PM,2025-04-25,2025-04-28,3333.33,3321.58,-11.75,-0.35,-0.003788,False
INTC,2025-04-25,2025-04-28,3333.33,3387.80,54.47,1.63,0.013408,False
J,2025-04-25,2025-04-28,3333.33,3321.78,-11.55,-0.35,-0.005751,False
IRM,2025-04-25,2025-05-06,3333.33,3655.58,322.24,9.67,0.012834,False
JCI,2025-04-25,2025-05-09,3333.33,3760.37,427.04,12.81,0.008035,False
PNR,2025-04-25,2025-05-13,3333.33,3604.07,270.74,8.12,-0.001092,False
JBL,2025-04-25,2025-05-13,3333.33,3685.48,352.14,10.56,0.011454,False
QCOM,2025-04-28,2025-04-29,3333.33,3302.94,-30.39,-0.91,-0.003359,False
AMD,2025-04-28,2025-04-29,3333.33,3338.91,5.58,0.17,0.007533,False
ASML,2025-04-28,2025-04-29,3333.33,3305.07,-28.27,-0.85,0.000763,False
AMAT,2025-04-28,2025-04-30,3333.33,3237.67,-95.66,-2.87,0.000000,False
KLAC,2025-04-28,2025-05-02,3333.33,3361.54,28.21,0.85,0.007777,False
MSFT,2025-04-28,2025-05-05,3333.33,3645.30,311.97,9.36,-0.001830,False
CCO.TO,2025-04-28,2025-05-12,3333.33,3936.00,602.67,18.08,0.023930,False
PH,2025-04-28,2025-05-13,3333.33,3699.02,365.69,10.97,-0.006242,False
BKSY,2025-04-29,2025-04-30,3333.33,3224.37,-108.97,-3.27,0.005273,False
DUK,2025-04-29,2025-04-30,3333.33,3384.14,50.81,1.52,0.010433,False
PM,2025-04-29,2025-04-30,3333.33,3393.71,60.37,1.81,0.011353,False
WMT,2025-04-29,2025-05-23,3333.33,3356.25,22.92,0.69,0.011294,False
AMD,2025-04-30,2025-05-01,3333.33,3535.41,202.08,6.06,0.042605,False
QCOM,2025-04-30,2025-05-02,3333.33,3185.02,-148.32,-4.45,0.019735,False
ASML,2025-04-30,2025-05-06,3333.33,3414.69,81.35,2.44,0.013676,False
TSLA,2025-04-30,2025-05-07,3333.33,3302.51,-30.82,-0.92,0.006919,False
HON,2025-04-30,2025-05-12,3333.33,3431.16,97.82,2.93,-0.002645,False
ADBE,2025-04-30,2025-05-16,3333.33,3715.33,382.00,11.46,0.019464,False
BKSY,2025-05-01,2025-05-02,3333.33,3441.25,107.92,3.24,0.005396,False
COST,2025-05-01,2025-05-02,3333.33,3390.52,57.19,1.72,0.008054,False
SOFI,2025-05-02,2025-05-05,3333.33,3284.06,-49.27,-1.48,0.001081,False
AMAT,2025-05-02,2025-05-05,3333.33,3359.86,26.52,0.80,0.013925,False
DE,2025-05-02,2025-05-08,3333.33,3278.57,-54.76,-1.64,-0.009729,False
IR,2025-05-02,2025-05-26,3333.33,3506.64,173.30,5.20,0.008726,False
ORLY,2025-05-05,2025-05-06,3333.33,3299.84,-33.49,-1.00,-0.008711,False
LLY,2025-05-05,2025-05-07,3333.33,3211.24,-122.09,-3.66,0.004476,False
ROK,2025-05-05,2025-05-08,3333.33,3772.86,439.53,13.19,0.009393,False
QCOM,2025-05-05,2025-05-08,3333.33,3490.89,157.56,4.73,0.007341,False
CAT,2025-05-05,2025-05-14,3333.33,3632.51,299.18,8.98,0.010352,False
ORCL,2025-05-05,2025-05-14,3333.33,3590.06,256.73,7.70,-0.000894,False
PAYX,2025-05-05,2025-05-20,3333.33,3511.00,177.67,5.33,-0.002156,False
MSFT,2025-05-07,2025-05-08,3333.33,3360.61,27.28,0.82,-0.000980,False
ASML,2025-05-07,2025-05-08,3333.33,3440.83,107.50,3.23,0.018594,False
KLAC,2025-05-07,2025-05-08,3333.33,3430.82,97.49,2.92,0.017755,False
IRM,2025-05-07,2025-05-08,3333.33,3372.44,39.10,1.17,0.004618,False
MU,2025-05-07,2025-05-14,3333.33,3903.78,570.45,17.11,0.018220,False
ORLY,2025-05-07,2025-05-14,3333.33,3173.39,-159.94,-4.80,-0.005285,False
COST,2025-05-07,2025-05-26,3333.33,3325.41,-7.92,-0.24,-0.003574,False
JNJ,2025-05-08,2025-05-09,3333.33,3325.77,-7.56,-0.23,-0.000908,False
