Price,Close,High,Low,Open,Volume
Ticker,NUE,NUE,NUE,NUE,NUE
Date,,,,,
2024-01-02,170.10890197753906,171.17554302097489,168.082298790975,168.42168861278566,1208000
2024-01-03,171.21434020996094,172.63973901013702,167.20960536404655,167.75261724905917,1624200
2024-01-04,166.850830078125,172.23247726103855,166.72476846547798,171.17554237396968,1809100
2024-01-05,165.39633178710938,167.38413999843752,164.71755212903565,166.23993848744794,1489800
2024-01-08,167.5102081298828,167.63626975059378,162.20612105057344,164.91150404359234,1274700
2024-01-09,162.041259765625,166.666581401517,161.86671178896864,166.00719930609517,2199000
2024-01-10,163.73818969726562,163.9902981286684,161.62430510978484,162.0412701726032,1203300
2024-01-11,163.0885009765625,164.484825586602,161.62429248877476,163.73817691118532,824000
2024-01-12,163.76727294921875,165.0666248753917,162.43883215872577,163.32121903637247,774100
2024-01-16,165.6193389892578,165.90053626971738,162.51640356849606,163.76726909269138,1534700
2024-01-17,163.9224395751953,166.47265730630875,163.457002904249,164.20363688998486,1632700
2024-01-18,161.352783203125,165.60962602621095,160.87765525265198,165.2896485393858,2470000
2024-01-19,161.73097229003906,163.1079143223971,160.27646981266994,161.33341952449106,1219500
2024-01-22,165.270263671875,165.5902559791349,161.00371437103993,161.03281803166695,1642900
2024-01-23,166.53082275390625,169.0325684968294,166.5017338914506,166.85081503688087,1479600
2024-01-24,167.39382934570312,168.46045550880257,166.10416883918705,167.55867116738315,1379600
2024-01-25,169.4010467529297,170.30284595359834,167.35504607584454,168.69319304640146,1624200
2024-01-26,169.78892517089844,171.86401474011288,168.83863958423802,169.88588312327576,1370600
2024-01-29,171.2821807861328,171.71852849281507,167.87865091885726,170.176759691089,2203700
2024-01-30,183.17030334472656,184.95450394404648,171.5149031066457,172.60092667460975,3647800
2024-01-31,181.26007080078125,185.16784728659417,180.90129829896196,183.17031835191452,3037400
2024-02-01,179.9898223876953,184.1109126003352,179.59226963564373,182.23945991171666,2250100
2024-02-02,177.8274383544922,179.9704114390726,177.28442656725775,179.9704114390726,2097100
2024-02-05,176.78021240234375,177.68201154891202,175.73296893985943,176.59597307154147,1508800
2024-02-06,175.84934997558594,177.75959768693156,175.5778440385792,176.70264800790832,1264900
2024-02-07,180.56195068359375,182.12311732515644,176.81903024583278,176.81903024583278,1663700
2024-02-08,180.6394805908203,181.70612151812225,178.9619587651203,180.2807080952562,1003900
2024-02-09,180.8819122314453,181.4249388902216,179.54378008264635,180.9013097396782,1198700
2024-02-12,180.45526123046875,182.28793357006407,179.95102961440043,180.94009533931367,1171800
2024-02-13,174.0360565185547,178.1377639434215,172.81427982797769,177.89534687653185,1530700
2024-02-14,175.56814575195312,177.16810737667012,174.2397048723712,174.76331926121023,1357900
2024-02-15,180.70736694335938,181.32795400157977,175.28692523840735,175.9172036521134,1194000
