symbol,initial_value,final_value,total_return,return_pct,sharpe,max_drawdown,max_drawdown_money,total_trades,wins,losses,avg_win,avg_loss,win_rate
A,10000,10524.58151721767,524.5815172176699,5.245815172176704,0.12477147963015317,20.20895181718415,2088.1506387479167,5,3,2,694.9011689638406,-780.0609948369242,60.0
AAPL,10000,13657.24960151651,3657.2496015165107,36.5724960151651,0.7061055586796909,15.57137313139549,2152.4147833556326,7,4,3,1247.948345481528,-444.84792680320123,57.14285714285714
ABBV,10000,14045.643508182326,4045.6435081823256,40.45643508182326,0.7001145674128092,20.54549992896445,2478.0552223341656,5,3,1,1942.0117816221518,-1640.1117158345219,60.0
ABNB,10000,8999.100372314453,-1000.8996276855469,-10.008996276855465,-0.3926049397815022,18.872196923889366,1896.429183959961,8,2,5,390.2599372863767,-460.09190826416017,25.0
ABT,10000,9900.374224060874,-99.62577593912647,-0.9962577593912614,-0.3090432342339064,15.107895040370472,1683.0094806019624,9,2,6,887.3541240595905,-342.85067901785607,22.22222222222222
ACGL,10000,8398.722279526351,-1601.2777204736485,-16.012777204736484,-0.6113379531453473,32.25528336673086,3826.08547353018,9,2,6,614.6366143115165,-522.4985046386719,22.22222222222222
ACN,10000,10200.305227819632,200.3052278196319,2.0030522781963267,-0.32114741969909394,22.68681858004896,2563.9143508274337,6,2,3,534.9427319075694,-678.9669308787106,33.33333333333333
ADBE,10000,6460.210723876953,-3539.789276123047,-35.397892761230466,-1.9894306327949676,36.575094299316405,3657.5094299316406,9,2,6,112.20989990234375,-587.0481719970702,22.22222222222222
ADI,10000,11923.335188373423,1923.335188373423,19.23335188373423,1.2837395350142784,22.605045587260424,2564.070164829329,8,2,5,1279.2630419819986,-597.1735642560838,25.0
ADM,10000,8550.989821431294,-1449.0101785687057,-14.49010178568706,-0.7771023201707814,37.19528969307003,4611.039929766436,10,2,7,1809.0741381362973,-679.7540680944811,20.0
ADP,10000,11742.473516432143,1742.4735164321428,17.424735164321437,0.5288856723615111,11.907782586834943,1587.277806954653,6,3,3,1004.5462038801692,-423.7216984027894,50.0
ADSK,10000,9324.980743408203,-675.0192565917969,-6.750192565917967,-1.15646202257737,22.21330735115998,2312.349822998047,8,2,5,1014.3344573974606,-506.71773681640633,25.0
AEE,10000,12393.09307103831,2393.093071038311,23.9309307103831,0.6785915890932368,14.612071592784762,1973.2529043120448,6,4,2,835.010775741946,-473.4750159647372,66.66666666666666
AEP,10000,11206.545368320805,1206.5453683208052,12.06545368320806,0.6840068245628571,14.468510230620316,1674.2171608417739,8,5,3,580.0793261718392,-564.6170875127968,62.5
AES,10000,11568.764290408517,1568.764290408517,15.687642904085175,1.1583105698611669,35.439301557218485,4489.061728396857,7,3,3,1222.7505830937832,-856.3090011835233,42.857142857142854
AFL,10000,10029.180153118316,29.180153118315502,0.29180153118315566,0.024233067587078706,26.13103006346976,3547.296985284196,9,2,6,1586.0927437238715,-515.8242088079154,22.22222222222222
AIG,10000,7249.0947690548555,-2750.9052309451445,-27.50905230945144,-1.8909721510204311,27.763270171811133,2786.0975580292097,10,3,7,237.184940612153,-494.6371503973724,30.0
AIZ,10000,8786.587126524188,-1213.4128734758124,-12.134128734758121,-0.37856504049626094,29.93882500929392,3521.9650537392354,9,3,5,662.6467993520431,-729.5340562730576,33.33333333333333
AJG,10000,9464.618649696298,-535.3813503037018,-5.353813503037019,-0.5049308766828763,21.520926270216712,2566.641695734188,8,4,3,328.53631590678515,-628.6423043343697,50.0
AKAM,10000,6123.920448303223,-3876.0795516967773,-38.760795516967775,-1.000569281263509,42.400896911621096,4240.089691162109,10,1,8,136.5,-538.7299671173096,10.0
ALB,10000,5165.324507047242,-4834.675492952758,-48.34675492952758,-1.4283565673167453,57.4170123701098,6272.923948384117,9,2,7,792.0924250774578,-916.9800490153821,22.22222222222222
ALGN,10000,5874.149398803711,-4125.850601196289,-41.25850601196289,-0.953415895394157,53.5983683469955,5374.2598876953125,7,0,6,0.0,-887.0834477742513,0.0
ALL,10000,7397.83111802659,-2602.16888197341,-26.021688819734102,-1.199925129697464,31.472331156684614,3343.69012511642,10,1,8,179.61933262662296,-348.7010735168984,10.0
ALLE,10000,9785.419134218937,-214.58086578106304,-2.145808657810633,-0.8652324764590769,17.678031880331368,1826.052686830093,8,3,5,610.7713223305577,-409.3789665545468,37.5
AMAT,10000,13337.97243331914,3337.9724333191407,33.379724333191405,0.43393587763840274,24.434566107412614,2767.922202099695,8,4,4,1375.438094028046,-540.9449856982608,50.0
AMCR,10000,7826.726769530063,-2173.2732304699366,-21.732732304699365,-1.6240235631105882,23.99969568343123,2467.7547856457386,9,2,6,151.07276537708447,-369.4496877939428,22.22222222222222
AMD,10000,16083.070281982422,6083.070281982422,60.83070281982421,0.5683919460243044,34.182945870856415,4078.760467529297,6,3,3,2839.0534871419272,-811.3633931477865,50.0
AME,10000,12472.072986546196,2472.0729865461963,24.720729865461966,1.2425639553055416,13.419488078617547,1400.42919872542,5,2,2,981.0490678780768,-512.3092815470491,40.0
AMGN,10000,11115.363909824699,1115.3639098246986,11.15363909824698,0.969421666389799,20.104097094390763,2516.736815747916,7,3,4,963.8964298446807,-444.0813449273353,42.857142857142854
AMP,10000,11098.828133064133,1098.828133064133,10.988281330641335,0.2699086679785995,18.759956379047793,2440.2557831561153,8,2,5,1454.5212277240662,-448.3948542228942,25.0
AMT,10000,8984.868684919566,-1015.1313150804344,-10.151313150804341,-1.7518879585192284,23.123399518061877,2702.5220537363766,7,2,5,1091.207549146644,-639.5092826747439,28.57142857142857
AMZN,10000,13059.05825805664,3059.0582580566406,30.590582580566416,1.2192336595118467,10.154721430943669,1442.7604370117188,6,3,2,1116.2498524983723,-195.54557037353516,50.0
ANET,10000,15953.554214477539,5953.554214477539,59.53554214477539,0.7152849096955657,22.66271615284533,2805.400390625,7,3,3,2267.4240264892583,-440.5060526529948,42.857142857142854
AON,10000,11598.056003629254,1598.0560036292536,15.980560036292534,0.37998509024285454,16.88897859002566,2293.846081509504,6,4,1,639.7562494424699,-1005.0399169921875,66.66666666666666
AOS,10000,8041.746397773845,-1958.2536022261547,-19.582536022261543,-1.1543655381365312,31.539474258119004,3546.8053809417934,10,3,6,314.56058531595056,-487.7508751762178,30.0
APA,10000,7999.27365023172,-2000.7263497682798,-20.007263497682793,-1.1456349295100956,48.746638784609985,5760.668555421363,9,3,6,893.0936474646429,-780.001215360368,33.33333333333333
APD,10000,10508.53451687719,508.53451687718916,5.085345168771882,0.11392913718661479,20.553317908484463,2713.4207640656514,8,3,5,1091.0533394180422,-552.9251002753875,37.5
APH,10000,12277.219819925314,2277.2198199253144,22.772198199253136,0.7207152831813387,34.79464239721278,4074.884502045309,7,3,4,2351.0769198185944,-1194.0027348826175,42.857142857142854
APO,10000,10634.085846074695,634.0858460746949,6.340858460746945,0.14861406226061424,34.98237005948796,4948.375775188857,8,2,5,2110.293560273504,-870.5724269533323,25.0
APP,10000,30592.116416931152,20592.116416931152,205.92116416931154,0.716628046429166,47.94827029951327,20181.619384765625,9,3,6,13812.770731608072,-3474.3659629821777,33.33333333333333
APTV,10000,7990.789928436279,-2009.2100715637207,-20.09210071563721,-0.21705093069662174,40.311895294189455,4031.1895294189453,9,3,5,763.7665239969889,-949.6739532470704,33.33333333333333
ARE,10000,8248.205794497973,-1751.7942055020267,-17.517942055020264,-0.7692548414352114,30.789476123306972,3219.1040568805474,10,2,7,440.92725468308834,-432.6997995160844,20.0
ARES,10000,11811.67932021833,1811.6793202183308,18.116793202183313,0.6361603469374336,21.558251454442438,2695.050694939546,8,3,4,835.1987214434879,-494.28438365503456,37.5
ATO,10000,12106.926712037153,2106.9267120371533,21.06926712037154,1.186449099245302,11.378994243843803,1198.1000443696557,8,3,5,1140.130341621256,-262.6928625653229,37.5
