symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak,ml_accuracy,ml_bullish_accuracy,ml_bearish_accuracy
BRK-B,10000,9589.490051269531,-410.50994873046875,-4.105099487304686,-0.43411183154629107,16.321373379002367,-20.42647286630705,-1.1635897938904003,-0.30150347101465,-5.869818016346552,13.61543027511355,1509.3493347167969,3,0,3,0.0,0.0,136.8366495768229,0.0,0.0,-136.8366495768229,0.0,-179.81982421875,18.0,40,0,3,53.036437246963565,53.50877192982456,52.63157894736842
LLY,10000,9620.702390642877,-379.2976093571233,-3.792976093571232,-0.40052564835812987,16.32138531457541,-20.114361408146642,-1.2333190791102653,-0.3870598132120347,-1.4097619895848228,9.799457252084723,1032.0743340445297,4,1,3,25.0,120.82268381470726,166.70676439061063,0.7247617351123654,0.24158724503745513,-94.82440233928116,120.82268381470726,-221.82924376865117,8.5,19,1,3,40.89068825910931,49.57983193277311,32.8125
TCEHY,10000,11583.346022161573,1583.3460221615733,15.833460221615736,1.5372222450396489,16.32138531457541,-0.48792509295967257,0.08507188600304769,1.458240134083581,0.9956410746505244,10.857923775062016,1232.6338129783799,4,2,2,50.0,1137.9932678401601,346.32025675937456,3.285956410660797,3.285956410660797,395.83650554039275,1538.3204498291016,-397.66971588134766,22.75,54,1,1,57.48987854251012,61.29032258064516,53.65853658536586
JNJ,10000,11657.287753463783,1657.2877534637828,16.572877534637833,1.6043023391823619,16.321373379002367,0.251504155635466,0.10633630818671547,3.4943199518079426,1.8147869522838993,4.742804827034546,580.4101257324219,6,4,2,66.66666666666666,524.9888020281662,221.33372732444008,2.3719331363295395,4.743866272659079,276.21462557729734,746.1412310263098,-231.66739361372387,17.5,37,3,1,46.34146341463415,61.53846153846154,29.310344827586203
ABBV,10000,11841.136722688541,1841.1367226885413,18.41136722688541,1.7694521138421182,16.321373379002367,2.0899938478830435,0.12729527755364045,2.5011552819465828,1.8638225796351258,7.361145211486562,939.7805085277178,3,2,1,66.66666666666666,992.6681622316648,144.1996017747863,6.883986848882101,13.767973697764202,613.712240896181,1231.5815803106202,-144.1996017747863,25.333333333333332,44,2,1,53.036437246963565,63.716814159292035,44.02985074626866
RHHBY,10000,11573.82167442968,1573.8216744296806,15.738216744296807,1.5285538554828504,16.321373379002367,-0.5831566347055599,0.1271853470653969,1.8742063882943132,0.042427644967671006,8.397269821825716,904.1116350795874,4,1,2,25.0,623.93184288671,296.0251693725586,2.1076986264687134,1.0538493132343567,-66.03591630774145,623.93184288671,-310.8003387451172,11.666666666666666,25,1,2,54.0650406504065,65.32258064516128,42.62295081967213
AZN,10000,9237.743927546479,-762.2560724535215,-7.6225607245352105,-0.8195403171319948,16.321373379002367,-23.94393410353758,-0.8207486071284823,-0.5014831265594554,-1.0658869840343979,15.20003429992073,1640.655045349693,7,1,6,14.285714285714285,451.8170069550906,202.34551323476873,2.2328985690474683,0.37214976150791135,-108.89372463621741,451.8170069550906,-442.2253388817923,10.428571428571429,21,1,6,46.34146341463415,52.54237288135594,40.625
NVS,10000,10566.207598412431,566.2075984124313,5.662075984124315,0.5732643801606319,16.321373379002367,-10.659297394878053,-0.22986975313822045,0.5091150562562631,-0.3492701756802682,11.12140745897389,1212.9992980957031,5,1,3,20.0,628.4868495110644,304.91990661621094,2.0611538829510163,0.6870512943170054,-118.23855539075588,628.4868495110644,-404.039794921875,15.5,35,1,3,46.12244897959184,58.119658119658126,35.15625
MRK,10000,9210.010830789462,-789.9891692105375,-7.899891692105376,-0.8504856662964522,16.321373379002367,-24.221265071107744,-0.5736168646113171,-0.5939564429080488,-1.3647616300216086,13.300456264818006,1351.353412799719,6,2,4,33.33333333333333,200.58040989211503,297.78749724869186,0.6735689434422558,0.3367844717211279,-131.66486153508959,214.0507962856949,-342.03608076589717,10.833333333333334,20,2,4,50.0,52.20588235294118,47.27272727272727
MCD,10000,9709.931581754157,-290.0684182458426,-2.900684182458424,-0.3050459747792278,16.321373379002367,-19.22205756146079,-1.5154294740900944,-0.4465887849408545,-1.296661764606421,6.4952015820159605,674.4890533761773,3,1,2,33.33333333333333,70.75870797016387,180.4135631080023,0.3922028186306872,0.1961014093153436,-96.6894727486136,70.75870797016387,-243.600341796875,15.0,22,1,1,43.31983805668016,46.774193548387096,39.83739837398374
