MU
AMD
AMGN
ANET
NEM
IBKR
VRTX
MELI
AEM
CVNA
ABX
WDC
CI
STX
SNDK
WPM
KMI
FTNT
CMG
CCO
MPWR
OKE
K
DXCM
PAAS
TECK.B
TPL
PPL
SW
LUG
AMCR
PFG
AGI
EQX
IMG
MOH
NGD
HBM
ELD
CS
OGC
DPM
TFPM
OLA
EFR
TXG
KNT
ARIS
AAUC
CG
FVI
DML
ERO
SVM
TKO
ATH
HWX
CJT
