fast_len,slow_len,atr_len,atr_mult,stop_loss_pct,avg_return_pct,avg_sharpe,avg_max_drawdown,total_trades,avg_win_rate,stock_win_rate,stocks_tested,winning_stocks
7,15,7,2.0,0.05,22.225387319719086,-0.15202235048735188,30.098532554555366,168,36.68085120008197,53.84615384615385,13,7
7,15,7,2.0,0.1,31.693115155998058,0.047275050631696895,30.495363806097377,158,41.7467148236379,69.23076923076923,13,9
7,15,7,2.0,0.15,36.46337651337885,0.08467045435615475,30.751951997760315,158,42.33843079996927,69.23076923076923,13,9
7,15,7,3.0,0.05,13.359002864400933,-0.18350524042339417,35.369298458601186,145,32.193159404697866,53.84615384615385,13,7
7,15,7,3.0,0.1,23.274288155179974,-0.11743890044059921,35.482911614294316,125,35.642968142968144,61.53846153846154,13,8
7,15,7,3.0,0.15,26.960314538617233,0.06245597411452058,35.5829669177411,120,37.845765345765344,69.23076923076923,13,9
7,15,7,3.5,0.05,15.049554805041925,-0.6397033452922499,36.24349474204504,136,29.058121365813673,46.15384615384615,13,6
7,15,7,3.5,0.1,26.03509709280905,-0.0715617298788933,37.113724675950614,115,33.410478410478404,61.53846153846154,13,8
7,15,7,3.5,0.15,28.972691345189926,0.11205958213511497,37.42748304331108,109,35.772283272283275,61.53846153846154,13,8
7,15,7,4.0,0.05,18.896388641295644,-0.29028603498025735,36.88170567846709,128,26.892530546376697,46.15384615384615,13,6
7,15,7,4.0,0.1,31.9429516743405,-0.05000503591492316,38.54530979058131,107,32.45643245643245,53.84615384615385,13,7
7,15,7,4.0,0.15,49.43798960360159,0.11066498770670055,37.717977336241795,99,34.77133977133977,61.53846153846154,13,8
7,15,10,2.0,0.05,17.726752367019145,-0.15976929062565923,30.762013546105607,168,35.39879991803069,53.84615384615385,13,7
7,15,10,2.0,0.1,26.060688193067314,0.04530500831111147,31.041086840531023,158,40.34811342503651,69.23076923076923,13,9
7,15,10,2.0,0.15,27.225192350647173,0.07690740241496113,31.29375671899982,158,40.93982940136786,69.23076923076923,13,9
7,15,10,3.0,0.05,14.029461571339027,-0.20953203825607075,35.13593151713597,143,31.744441455979917,53.84615384615385,13,7
7,15,10,3.0,0.1,23.959558088273347,-0.09119560979162118,35.42487161459282,123,35.25835275835276,61.53846153846154,13,8
7,15,10,3.0,0.15,27.566884367166963,0.08668421269364429,35.534768178423676,118,37.46114996114996,69.23076923076923,13,9
7,15,10,3.5,0.05,15.616977771632218,-0.6143942046466813,36.33297292052662,136,29.650584458276764,46.15384615384615,13,6
7,15,10,3.5,0.1,25.675904080079345,-0.1279177287550211,37.14936141044059,115,33.0980130980131,53.84615384615385,13,7
7,15,10,3.5,0.15,28.59183841688446,0.05301569190975332,37.5378395622868,109,35.5957930957931,53.84615384615385,13,7
7,15,10,4.0,0.05,18.96536078338771,-0.17197047931839016,36.92223822858172,127,25.506416660262815,53.84615384615385,13,7
7,15,10,4.0,0.1,32.370494260459196,-0.040229399736371844,38.391887240893155,105,32.33405483405483,53.84615384615385,13,7
7,15,10,4.0,0.15,49.311443471458674,0.11928838605643978,37.79891884026007,97,35.61050061050061,61.53846153846154,13,8
7,15,14,2.0,0.05,17.15064789398106,-0.17153643543359884,32.195050089838155,169,36.00319552242629,53.84615384615385,13,7
7,15,14,2.0,0.1,25.690311640623836,0.04478848959771488,32.15746891630926,159,41.010784087707165,69.23076923076923,13,9
7,15,14,2.0,0.15,26.854815798203695,0.07639088370156454,32.410138794778064,159,41.60250006403852,69.23076923076923,13,9
7,15,14,3.0,0.05,18.16618214596023,-0.4047619643885599,34.695574036342116,142,31.198320909859373,53.84615384615385,13,7
7,15,14,3.0,0.1,29.747115249520064,-0.09605569629301056,34.78371852202456,122,34.693639693639696,61.53846153846154,13,8
7,15,14,3.0,0.15,33.141867179776554,0.08395398017900245,34.84507168975857,117,36.896436896436896,69.23076923076923,13,9
7,15,14,3.5,0.05,15.99705218949842,-0.1343722959134553,36.23639533409121,134,29.2842840919764,53.84615384615385,13,7
