BRK-B
LLY
TCEHY
JNJ
ABBV
RHHBY
AZN
NVS
MRK
MCD
TMUS
ABT
AMGN
GILD
T
VZ
HDB
INTU
LMT
MDT
WELL
PGR
VRTX
CB
BMY
IBN
ENB
GSK
CMCSA
CME
ADP
NOC
ICE
GD
WM
MRSH
AMT
WMB
BAESY
EPD
AON
MSI
LHX
RSG
KMI
AMX
TRV
AJG
TRP
RKT
LSEGY
BDX
AFL
MPLX
O
ZTS
TRI
ALL
MPLX
I
ZTS
TRI
ALL
CMPGY
EA
PSA
EW
WCN
YUM
AIG
ROP
CCI
PAYX
VTR
HIG
OTIS
ACGL
INSM
QSR
VRSK
VICI
EXR
FWONK
FIS
NTRS
CBOE
CSGP
WRB
AVB
BRO
TW
PBA
BR
EQR
BCE
RPRX
DRI
L
SBAC
INCY
RCI
EXAS
CHKP
WY
PODD
YUMC
WES
HOLX
NLY
INVH
MAA
GFL
CPT
WPC
HTHT
FIG
FNF
EMBJ
PEN
DPZ
REG
JKHY
GLPI
OHI
DTM
RYAN
UDR
ELS
TXRH
NYT
AMH
SCI
SKM
TIGO
ARMK
